File_Name,Content,Category
760760B1,integrating cots search engines into eclipse google desktop case study,icse
7CEB1A98,study on existence of cnt in nanocomposite cnt meh ppv thin film,icse
097478FC,an analysis of three transaction processing architectures,vldb
7ABEF004,the data protection of mapreduce using homomorphic encryption,icse
5873CD27,software requirement definition and data models,vldb
08D0C858,efficient processing of interactive relational data base queries expressed in logic,vldb
78C7D9B5,hybrid wdm ocdma system to support differentiated services in access network,icse
7FB3D396,high level specification of concurrency control in distributed database systems,icse
7CCFC39E,towards trustworthy service adaptation an ontology based cross layer approach,icse
7FE45423,e banking issues and challenges,icse
5A6E2369,stdl a portable language for transaction processing,vldb
799DD084,patch verification via multiversion interprocedural control flow graphs,icse
81118863,needed distributed control,vldb
772AD956,exploring variability aware execution for testing plugin based web applications,icse
80557546,data compression in oracle,vldb
6FFBBF40,notice of retraction research on fast cost estimation of project in project family based on case based reasoning,icse
7B76374B,e learning support for students to generate questions originated from descriptions in course materials,icse
7BD5E606,convex corner undercutting on corrugated diaphragm,icse
787EF24A,regional income labor income tax and human capital accumulation based on the test of panel data model with variable coefficient,icse
7E450B73,stairs towards efficient full text filtering and dissemination in dht environments,vldb
8110BD73,an investigation into the effect of students use of the cadiz tool for checking z formal specifications,icse
7EE24F35,dependency analysis for learning class structure for novice java programmer,icse
807829EC,mining compressed frequent pattern sets,vldb
5BAB01AF,language support for office modelling,vldb
5B6A1A7F,supporting lists in a data model a timely approach,vldb
84B4352C,automated measure of structural coverage for lustre programs a case study,icse
5C28F66A,caching technologies for web applications,vldb
809CCED3,resource scheduling for composite multimedia objects,vldb
7E17E279,tool support for data validation by end user programmers,icse
7F1C12CD,rewriting xpath queries using materialized views,vldb
5EE2C75C,performance evaluation and experimental assessment conscience or curse of database research,vldb
83AC3A18,mesa geo replicated near real time scalable data warehousing,vldb
862D16E1,a smart fuzzer for x86 executables,icse
7D09FC42,third international workshop on search driven development users infrastructure tools and evaluation suite 2011,icse
5FC2ED03,a multi version cache replacement and prefetching policy for hybrid data delivery environments,vldb
7F15EE35,plural checking protocol compliance under aliasing,icse
5AF15AAE,introducing object technology into the software engineering curriculum,icse
11356275,requirements engineering for cloud computing,icse
7675645E,garbage collection in object oriented databases using transactional cyclic reference counting,vldb
7F39B843,dax a widely distributed multitenant storage service for dbms hosting,vldb
80D4FDF1,secure data outsourcing,vldb
08D8030C,a comparison of non equijoin algorithms,vldb
5C5ECF40,watchman a data warehouse intelligent cache manager,vldb
7F780551,a modeling and computational method for qos in iot,icse
7D5FF1CF,mining java class identifier naming conventions,icse
5BE8F84A,configuration management in biin sup tm sms,icse
6B3BAE34,testing and maintenance in software engineering education,icse
028A3EAD,a language extension for controlling access to shared data abstract,icse
5F747E67,biopatentminer an information retrieval system for biomedical patents,vldb
7F2F5CD9,opening up software product line engineering,icse
5D04EDE9,composing mappings among data sources,vldb
799EA85B,analysis of locking behavior in three real database systems,vldb
813EE315,listening to programmers taxonomies and characteristics of comments in operating system code,icse
5AF79F9A,warlock a data allocation tool for parallel warehouses,vldb
7B6B5257,extending the implementation scheme of functional programming system fp for supporting the formal software development methodology,icse
758020DB,ensuring integrity by adding obligations to privileges,icse
7F0F8F49,summarizing and mining inverse distributions on data streams via dynamic inverse sampling,vldb
77E10BA0,software interoperability principles and practice,icse
81EE4A61,an improved monte carlo pomdps online planning algorithm combined with rave heuristic,icse
8123981F,twenty year retrospective the nato software engineering conferences,icse
7D2DF297,complex spatio temporal pattern queries,vldb
7B6A6C49,approximate similarity retrieval with m trees,vldb
78F9D858,re estimation of software reliability after maintenance,icse
80F99BD0,a generic model for representing design methods,icse
85384B76,exploiting equality generating dependencies in checking chase termination,vldb
76A49A18,research journey towards industrial application of reuse technique,icse
0ED16721,influential community search in large networks,vldb
75C0DA67,the intertwining between risk and project management,icse
787FB125,effect of germanium cap layer on indium ohmic contacts for n type gaas,icse
03BE6221,log as a test case generator for the test template framework,icse
7D30C1B2,random generation of test inputs for implicitly defined subdomains,icse
819514B1,a particle filter object tracking based on feature and location fusion,icse
59C654BB,aggregation algorithms for very large compressed data warehouses,vldb
7E9961B4,can t be built,icse
81634673,topx efficient and versatile top k query processing for semistructured data,vldb
5C694E35,a data modeling approach to simplify the design of user interfaces,vldb
7F52F330,ad opera music inspired self adaptive systems,icse
813B9CDB,research of hydropower stations optimal operation based on the discrete differential dynamic programming progressive optimization algorithm combination method,icse
7D06F724,mining recurrent activities fourier analysis of change events,icse
80207229,modeling and validation of executable requirements using live activity diagrams,icse
9365549,the role of software engineering in the microcomputer revolution an overview,icse
834F364A,sema join joining semantically related tables using big table corpora,vldb
7C612656,query evaluation over probabilistic xml,vldb
7C817959,spyware a change aware development toolset,icse
7DDDCBA2,correlation maps a compressed access method for exploiting soft functional dependencies,vldb
58BB7B25,estimating the selectivity of spatial queries using the correlation fractal dimension,vldb
763FB24A,estimating mobile application energy consumption using program analysis,icse
7FEA8983,efficient implementation of large scale multi structural databases,vldb
7B644FD4,specifying and measuring quality in use tutorial session,icse
8155865E,teleios a database powered virtual earth observatory,vldb
7F2773E6,influence of mos transistor gate oxide breakdown on circuit performance,icse
81132F2E,evaluation criteria for functional specifications,icse
7DF1C052,exploiting database similarity joins for metric spaces,vldb
8043943D,scalable multi query optimization for exploratory queries over federated scientific databases,vldb
801B091F,testing database transactions with agenda,icse
7D8CC19E,depth estimation for ranking query optimization,vldb
7EE0C59D,serebro facilitating student project team collaboration,icse
76460FED,detecting deadlock in programs with data centric synchronization,icse
816DF5F7,spider a schema mapping debugger,vldb
5D5FFE40,spherical harmonics based 3 d shape modeling for spleen,icse
01C237C2,computer technology and the database user,vldb
5EB98AC8,constructing efficient decision trees by using optimized numeric association rules,vldb
7AB41CDA,a computer architecture for large distributed data bases,vldb
035A1B62,the simplification of retrieval requests generated by question answering systems,vldb
7FF92330,power law based estimation of set similarity join size,vldb
7BD45E13,lessons of current environments,icse
7ED2F14D,debugging schema mappings with routes,vldb
8.06E+10,cost based memory partitioning and management in memcached,vldb
7E446643,dali a high performance main memory storage manager,vldb
78EB54B3,using data mining and recommender systems to scale up the requirements process,icse
7347C9A0,incremental knowledge base construction using deepdive,vldb
5BA49CF1,reading a set of disk pages,vldb
7A00634D,gignomda exploiting cross layer optimization for complex database applications,vldb
7EC2481F,random dopant induced dc characteristic fluctuations in 16 nm gate lac and inlac mosfet devices,icse
0865EB08,an approach to analyzing and testing component based systems,icse
7CF85A62,extending the power of datalog recursion,vldb
7963E35A,functional specifications of a subsystem for data base integrity,vldb
7CA5418D,role of requirement change in software architecture using twin peaks model,icse
5EC37FEB,implementing faceted classification for software reuse experience report,icse
7E0D4A01,feature based decomposition of inductive proofs applied to real time avionics software an experience report,icse
7E6799BE,geromesuite a system for holistic generic model management,vldb
7C22F262,appcivist a service oriented software platform for socially sustainable activism,icse
81F702ED,completing truck s missing trajectory based on the historical information,icse
759F0519,query processing and inverted indices in shared nothing text document information retrieval systems,vldb
7E5374BC,lazy updates an efficient technique to continuously monitoring reverse knn,vldb
0BAAEE4A,experience in using defined processes for technology transfer panel overview,icse
04551B16,the design of griddb a data centric overlay for the scientific grid,vldb
79ADE457,entity resolution theory practice open challenges,vldb
5B329E7F,join index hierarchies for supporting efficient navigations in object oriented databases,vldb
